TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2023,CD,101,6,Financial District (CD1),72.2,23
2023,CD,102,6,Greenwich Village and Soho (CD2),102.6,24
2023,CD,103,6,Lower East Side and Chinatown (CD3),203.7,102
2023,CD,104,6,Clinton and Chelsea (CD4),112.9,41
2023,CD,105,6,Midtown (CD5),233,38
2023,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),83.8,30
2023,CD,107,6,Upper West Side (CD7),103.7,91
2023,CD,108,6,Upper East Side (CD8),72.2,62
2023,CD,109,6,Morningside Heights and Hamilton Heights (CD9),266.8,115
2023,CD,110,6,Central Harlem (CD10),367,222
2023,CD,111,6,East Harlem (CD11),463.8,274
2023,CD,112,6,Washington Heights and Inwood (CD12),340.3,283
2023,CD,201,6,Mott Haven and Melrose (CD1),498.5,311
2023,CD,202,6,Hunts Point and Longwood (CD2),276.4,101
2023,CD,203,6,Morrisania and Crotona (CD3),375.9,229
2023,CD,204,6,Highbridge and Concourse (CD4),332.1,334
2023,CD,205,6,Fordham and University Heights (CD5),337,302
2023,CD,206,6,Belmont and East Tremont (CD6),443.2,255
2023,CD,207,6,Kingsbridge Heights and Bedford (CD7),314.4,296
2023,CD,208,6,Riverdale and Fieldston (CD8),242.3,136
2023,CD,209,6,Parkchester and Soundview (CD9),311,322
2023,CD,210,6,Throgs Neck and Co-op City (CD10),230.1,128
2023,CD,211,6,Morris Park and Bronxdale (CD11),293.4,186
2023,CD,212,6,Williamsbridge and Baychester (CD12),383.4,319
2023,CD,301,6,Greenpoint and Williamsburg (CD1),87.2,127
2023,CD,302,6,Fort Greene and Brooklyn Heights (CD2),133.8,93
2023,CD,303,6,Bedford Stuyvesant (CD3),241.4,213
2023,CD,304,6,Bushwick (CD4),168.4,105
2023,CD,305,6,East New York and Starrett City (CD5),330.8,335
2023,CD,306,6,Park Slope and Carroll Gardens (CD6),109.8,76
2023,CD,307,6,Sunset Park (CD7),96.7,77
2023,CD,308,6,Crown Heights and Prospect Heights (CD8),244,121
2023,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),142.1,77
2023,CD,310,6,Bay Ridge and Dyker Heights (CD10),93.1,69
2023,CD,311,6,Bensonhurst (CD11),77.9,80
2023,CD,312,6,Borough Park (CD12),29.4,61
2023,CD,313,6,Coney Island (CD13),166.9,78
2023,CD,314,6,Flatbush and Midwood (CD14),120.2,122
2023,CD,315,6,Sheepshead Bay (CD15),60.1,58
2023,CD,316,6,Brownsville (CD16),445.7,218
2023,CD,317,6,East Flatbush (CD17),386.9,268
2023,CD,318,6,Flatlands and Canarsie (CD18),192.6,185
2023,CD,401,6,Long Island City and Astoria (CD1),120.8,94
2023,CD,402,6,Woodside and Sunnyside (CD2),92,66
2023,CD,403,6,Jackson Heights (CD3),149.3,154
2023,CD,404,6,Elmhurst and Corona (CD4),144.9,153
2023,CD,405,6,Ridgewood and Maspeth (CD5),143.2,127
2023,CD,406,6,Rego Park and Forest Hills (CD6),110.3,59
2023,CD,407,6,Flushing and Whitestone (CD7),129.7,142
2023,CD,408,6,Hillcrest and Fresh Meadows (CD8),124.3,102
2023,CD,409,6,Kew Gardens and Woodhaven (CD9),174.9,139
2023,CD,410,6,South Ozone Park and Howard Beach (CD10),189.9,113
2023,CD,411,6,Bayside and Little Neck (CD11),109.4,52
2023,CD,412,6,Jamaica and Hollis (CD12),285.9,337
2023,CD,413,6,Queens Village (CD13),222.4,190
2023,CD,414,6,Rockaway and Broad Channel (CD14),197.9,144
2023,CD,501,6,St. George and Stapleton (CD1),143,156
2023,CD,502,6,South Beach and Willowbrook (CD2),60.4,41
2023,CD,503,6,Tottenville and Great Kills (CD3),49.3,38
2023,UHF42,101,4,Kingsbridge - Riverdale,213.9,105
2023,UHF42,102,4,Northeast Bronx,306,302
2023,UHF42,103,4,Fordham - Bronx Pk,344.5,573
2023,UHF42,104,4,Pelham - Throgs Neck,294.5,484
2023,UHF42,105,4,Crotona - Tremont,389.7,574
2023,UHF42,106,4,High Bridge - Morrisania,383.2,544
2023,UHF42,107,4,Hunts Point - Mott Haven,347.2,337
2023,UHF42,201,4,Greenpoint,83.8,87
2023,UHF42,202,4,Downtown - Heights - Slope,104.5,180
2023,UHF42,203,4,Bedford Stuyvesant - Crown Heights,256.7,507
2023,UHF42,204,4,East New York,274.6,326
2023,UHF42,205,4,Sunset Park,109.6,79
2023,UHF42,206,4,Borough Park,51.2,137
2023,UHF42,207,4,East Flatbush - Flatbush,223.2,345
2023,UHF42,208,4,Canarsie - Flatlands,228.1,218
2023,UHF42,209,4,Bensonhurst - Bay Ridge,97.5,100
2023,UHF42,210,4,Coney Island - Sheepshead Bay,101.8,143
2023,UHF42,211,4,Williamsburg - Bushwick,176.4,243
2023,UHF42,301,4,Washington Heights,312.5,352
2023,UHF42,302,4,Central Harlem - Morningside Heights,315.4,281
2023,UHF42,303,4,East Harlem,466,250
2023,UHF42,304,4,Upper West Side,100.3,93
2023,UHF42,305,4,Upper East Side,77.1,63
2023,UHF42,306,4,Chelsea - Clinton,157.8,64
2023,UHF42,307,4,Gramercy Park - Murray Hill,104.9,38
2023,UHF42,308,4,Greenwich Village - SoHo,94.4,24
2023,UHF42,309,4,Union Square - Lower East Side,213.8,110
2023,UHF42,310,4,Lower Manhattan,90.7,27
2023,UHF42,401,4,Long Island City - Astoria,120.7,104
2023,UHF42,402,4,West Queens,152.5,384
2023,UHF42,403,4,Flushing - Clearview,141.3,148
2023,UHF42,404,4,Bayside - Little Neck,97.3,35
2023,UHF42,405,4,Ridgewood - Forest Hills,124.8,166
2023,UHF42,406,4,Fresh Meadows,105.8,59
2023,UHF42,407,4,Southwest Queens,174.4,251
2023,UHF42,408,4,Jamaica,239.8,389
2023,UHF42,409,4,Southeast Queens,206.4,193
2023,UHF42,410,4,Rockaways,164.4,144
2023,UHF42,501,4,Port Richmond,128.1,57
2023,UHF42,502,4,Stapleton - St. George,164.9,108
2023,UHF42,503,4,Willowbrook,51.2,24
2023,UHF42,504,4,South Beach - Tottenville,46.9,46
2023,Borough,1,1,Bronx,343.1,2947
2023,Borough,2,1,Brooklyn,152.4,2381
2023,Borough,3,1,Manhattan,215.2,1332
2023,Borough,4,1,Queens,177,2044
2023,Borough,5,1,Staten Island,93,237
2023,Citywide,1,0,New York City,200.9,8941
2022,CD,101,6,Financial District (CD1),113.5,38
2022,CD,102,6,Greenwich Village and Soho (CD2),40.8,10
2022,CD,103,6,Lower East Side and Chinatown (CD3),180,96
2022,CD,104,6,Clinton and Chelsea (CD4),94.9,36
2022,CD,105,6,Midtown (CD5),116.6,20
2022,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),85.1,32
2022,CD,107,6,Upper West Side (CD7),99.4,91
2022,CD,108,6,Upper East Side (CD8),64.6,58
